celular;data_nascimento;idade;sexo;cidade_residencial;bairro_residencial;cidade_trabalho;bairro_trabalho;cidade_escola;bairro_escola;categoria_frequentada
(11) 97865-4256;30/11/1974;50;Outro;São Paulo;Itaquera;São Paulo;Consolação;São Paulo;Tucuruvi;Lojas de Móveis e Decoração
(11) 92204-8716;18/11/1993;31;Outro;São Paulo;Santo Amaro;São Paulo;Ipiranga;São Paulo;Sé;Bancos, Agências e Correspondentes
(11) 95418-4313;24/01/1961;64;Feminino;São Paulo;Lapa;São Paulo;Sé;;;Clínicas Médicas e Laboratórios
(11) 94602-5835;11/12/1984;40;Outro;São Paulo;Perdizes;;;;;Papelarias, Livrarias e Lojas de Escritório
(31) 92416-7745;15/11/1953;71;Outro;São Paulo;Tucuruvi;São Paulo;Penha;São Paulo;Consolação;Bancos e Casas Lotéricas
(11) 94643-3440;10/08/1998;26;Outro;São Paulo;Santo Amaro;;;São Paulo;Higienópolis;Lanchonetes e Fast-Food
(11) 97460-8852;26/08/1977;47;Outro;São Paulo;Jabaquara;São Paulo;Bela Vista;;;Lojas de Móveis e Decoração
(31) 96872-5846;12/10/1943;81;Masculino;São Paulo;República;São Paulo;Tucuruvi;;;Fisioterapia e Terapias Complementares
(11) 91399-8452;23/04/1967;58;Feminino;São Paulo;Vila Prudente;São Paulo;Vila Prudente;;;Supermercados e Mercados Express
(11) 92158-7305;27/03/1967;58;Outro;São Paulo;Consolação;São Paulo;Tucuruvi;;;Farmácias e Drogarias
(11) 96500-1898;05/11/2007;17;Outro;Pereira do Galho;Penha;;;São Paulo;Higienópolis;Lanchonetes e Fast-Food
(11) 93871-2097;13/11/1986;38;Outro;São Paulo;Tucuruvi;São Paulo;Higienópolis;São Paulo;Higienópolis;Bancos, Agências e Correspondentes
(11) 94693-6250;01/01/2005;20;Feminino;São Paulo;Ipiranga;;;São Paulo;República;Coworkings e Centros de Estudo/Conexão
(11) 99629-3010;03/06/1960;65;Feminino;São Paulo;Pinheiros;;;;;Calçados Confortáveis e Ortopédicos
(11) 92075-4085;17/03/1944;81;Feminino;São Paulo;Vila Prudente;;;São Paulo;Pinheiros;Clínicas Médicas e Laboratórios
(11) 93424-9131;04/07/1959;66;Masculino;São Paulo;Ipiranga;;;São Paulo;Higienópolis;Clínicas Médicas e Laboratórios
(11) 97883-8272;12/07/1949;76;Outro;São Paulo;Tatuapé;São Paulo;Consolação;;;Produtos Naturais e Fitoterápicos
(11) 97745-6616;13/07/1986;39;Outro;São Paulo;Itaquera;São Paulo;Limão;;;Papelarias, Livrarias e Lojas de Escritório
(11) 96021-3813;03/01/1962;63;Feminino;São Paulo;Penha;;;;;Farmácias e Drogarias
(11) 95659-8469;15/03/1960;65;Masculino;São Paulo;Santana;;;São Paulo;Lapa;Clínicas Médicas e Laboratórios
(11) 91674-6187;18/11/1945;79;Outro;São Paulo;Limão;São Paulo;Bela Vista;;;Calçados Confortáveis e Ortopédicos
(11) 98347-9845;09/01/1957;68;Masculino;São Paulo;Sé;;;;;Clubes e Centros de Convivência
(11) 98504-6246;16/11/1985;39;Masculino;São Paulo;Pinheiros;;;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 95748-3409;13/01/1965;60;Outro;São Paulo;Jabaquara;São Paulo;Sé;;;Clínicas Médicas e Laboratórios
(11) 92914-6047;19/11/2001;23;Masculino;São Paulo;Casa Verde;São Paulo;Bela Vista;;;Lojas de Eletrônicos e Games
(11) 94639-5553;19/10/1951;73;Masculino;São Paulo;Pinheiros;;;;;Supermercados de Bairro e Mercadinhos
(61) 94185-9035;07/01/1976;49;Feminino;São Paulo;Ipiranga;;;;;Clínicas de Saúde e Bem-estar
(11) 98006-7056;13/07/1943;82;Feminino;São Paulo;Tatuapé;São Paulo;Sé;;;Supermercados de Bairro e Mercadinhos
(11) 98278-7809;05/06/1967;58;Feminino;São Paulo;Santo Amaro;;;;;Papelarias, Livrarias e Lojas de Escritório
(11) 93353-4404;09/10/1991;33;Feminino;São Paulo;Ipiranga;;;São Paulo;Perdizes;Farmácias e Drogarias
(11) 95478-7791;21/11/1970;54;Masculino;São Paulo;Lapa;;;São Paulo;Sé;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 91691-5947;08/08/1955;70;Outro;São Paulo;Pinheiros;;;São Paulo;Tucuruvi;Igrejas e Lojas de Artigos Religiosos
(11) 98742-3034;31/07/2000;24;Outro;São Paulo;Tatuapé;São Paulo;Consolação;São Paulo;Limão;Cafeterias e Bistrôs Modernos
(11) 96927-8872;03/01/1969;56;Outro;São Paulo;Limão;;;;;Farmácias e Drogarias
(11) 91287-5252;08/10/1966;58;Masculino;São Paulo;Higienópolis;São Paulo;Itaquera;;;Supermercados e Mercados Express
(11) 97873-6832;19/11/1937;87;Masculino;São Paulo;Ipiranga;;;São Paulo;Consolação;Supermercados de Bairro e Mercadinhos
(11) 93738-9908;14/07/1990;35;Feminino;São Paulo;Tatuapé;São Paulo;Casa Verde;São Paulo;Consolação;Supermercados e Mercados Express
(11) 95610-7111;17/07/1957;68;Feminino;São Paulo;Santana;São Paulo;Consolação;;;Produtos Naturais e Fitoterápicos
(11) 99612-9717;27/02/1995;30;Outro;São Paulo;Sé;São Paulo;Santo Amaro;;;Lanchonetes e Fast-Food
(11) 96104-6940;05/11/1938;86;Masculino;São Paulo;Butantã;São Paulo;Lapa;;;Farmácias e Drogarias
(11) 92943-4643;18/07/1947;78;Masculino;São Paulo;Higienópolis;;;;;Bancos e Casas Lotéricas
(11) 92287-7960;29/10/1960;64;Outro;São Paulo;Sé;São Paulo;Limão;São Paulo;Higienópolis;Fisioterapia e Terapias Complementares
(11) 92948-5145;02/12/1998;26;Masculino;São Paulo;Bela Vista;;;;;Espaços Culturais e de Experiência Interativa
(11) 94277-4027;11/02/1976;49;Outro;São Paulo;República;São Paulo;Casa Verde;;;Clínicas de Saúde e Bem-estar
(11) 99202-4962;22/08/1977;47;Outro;São Paulo;Sé;;;;;Postos de Combustível e Serviços Automotivos
(11) 94138-5617;04/03/1939;86;Masculino;Costa;Pinheiros;São Paulo;Tucuruvi;;;Clubes e Centros de Convivência
(11) 94033-8203;28/11/2006;18;Outro;Rodrigues;Santana;;;;;Barbearias/Salões com estética jovem
(11) 94728-7677;08/11/1967;57;Masculino;São Paulo;Itaquera;São Paulo;Consolação;;;Clínicas de Saúde e Bem-estar
(11) 91665-2347;05/03/1945;80;Feminino;São Paulo;Vila Prudente;São Paulo;Casa Verde;;;Clubes e Centros de Convivência
(11) 97672-5761;27/04/1982;43;Feminino;São Paulo;República;;;;;Clínicas de Saúde e Bem-estar
(11) 99055-2723;15/01/1945;80;Feminino;São Paulo;República;São Paulo;Higienópolis;;;Clínicas Médicas e Laboratórios
(11) 94261-6548;31/12/1999;25;Masculino;São Paulo;Vila Prudente;São Paulo;Vila Prudente;São Paulo;Casa Verde;Barbearias/Salões com estética jovem
(11) 97626-8938;30/07/1951;74;Outro;São Paulo;Jabaquara;São Paulo;Sé;São Paulo;Santo Amaro;Supermercados de Bairro e Mercadinhos
(11) 92117-9161;24/05/1955;70;Outro;São Paulo;Santana;São Paulo;Tucuruvi;;;Fisioterapia e Terapias Complementares
(11) 92253-9518;09/02/1953;72;Feminino;São Paulo;Tucuruvi;São Paulo;Higienópolis;São Paulo;Higienópolis;Produtos Naturais e Fitoterápicos
(11) 91517-8051;10/12/1943;81;Masculino;São Paulo;Itaquera;;;;;Farmácias e Drogarias
(11) 95965-3689;07/03/1957;68;Feminino;São Paulo;Tatuapé;;;;;Supermercados de Bairro e Mercadinhos
(11) 99037-9837;15/04/1949;76;Outro;São Paulo;Pinheiros;;;;;Restaurantes com comida caseira
(11) 97189-6779;13/05/1957;68;Feminino;São Paulo;Bela Vista;São Paulo;República;;;Fisioterapia e Terapias Complementares
(11) 96591-7235;22/02/1988;37;Masculino;São Paulo;Penha;São Paulo;Consolação;São Paulo;Santana;Farmácias e Drogarias
(11) 92875-6531;05/03/1967;58;Masculino;São Paulo;Itaquera;São Paulo;Limão;;;Lojas de Móveis e Decoração
(11) 98695-1364;09/08/1960;64;Feminino;São Paulo;Vila Prudente;São Paulo;Sé;São Paulo;Casa Verde;Clubes e Centros de Convivência
(11) 96563-3730;23/07/1945;80;Outro;São Paulo;Santo Amaro;São Paulo;Santana;;;Produtos Naturais e Fitoterápicos
(11) 95344-1778;27/06/1973;52;Feminino;Campos do Galho;Vila Prudente;;;;;Farmácias e Drogarias
(11) 92552-6518;20/03/2002;23;Feminino;São Paulo;Ipiranga;São Paulo;Bela Vista;;;Cinema e Streaming Experience Stores
(11) 95913-8092;20/01/1961;64;Outro;São Paulo;Tucuruvi;São Paulo;Higienópolis;;;Produtos Naturais e Fitoterápicos
(11) 91304-9457;16/03/1963;62;Masculino;São Paulo;Tucuruvi;;;;;Clubes e Centros de Convivência
(11) 99728-8106;13/05/1970;55;Outro;São Paulo;Consolação;São Paulo;Consolação;São Paulo;Casa Verde;Lojas de Móveis e Decoração
(11) 92055-4335;30/08/1954;70;Feminino;São Paulo;Tatuapé;;;São Paulo;Limão;Bancos e Casas Lotéricas
(11) 94144-1453;12/12/1970;54;Masculino;São Paulo;Tatuapé;São Paulo;Sé;;;Supermercados e Mercados Express
(11) 95468-3235;27/06/1998;27;Masculino;São Paulo;Limão;;;São Paulo;Vila Prudente;Lanchonetes e Fast-Food
(11) 92375-6143;10/08/1938;87;Outro;São Paulo;República;;;;;Calçados Confortáveis e Ortopédicos
(11) 92479-7502;18/07/1945;80;Outro;São Paulo;Casa Verde;São Paulo;Santana;;;Fisioterapia e Terapias Complementares
(71) 95125-9133;06/12/2005;19;Masculino;São Paulo;Sé;;;;;Espaços Culturais e de Experiência Interativa
(11) 94865-7928;30/08/1988;36;Masculino;São Paulo;Santana;São Paulo;Sé;São Paulo;Sé;Postos de Combustível e Serviços Automotivos
(11) 92850-6185;06/04/1991;34;Outro;São Paulo;Casa Verde;;;;;Restaurantes e Gastronomia
(11) 97025-6049;17/12/1935;89;Masculino;São Paulo;Butantã;São Paulo;Santana;;;Bancos e Casas Lotéricas
(11) 97302-6067;16/01/1938;87;Outro;Ribeiro do Amparo;Penha;;;;;Produtos Naturais e Fitoterápicos
(11) 98248-7364;29/03/1988;37;Masculino;Alves de Barros;Vila Prudente;;;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 94857-5872;06/12/1976;48;Masculino;São Paulo;Santana;;;;;Lojas de Móveis e Decoração
(11) 95489-2312;25/12/1993;31;Feminino;São Paulo;Santo Amaro;;;;;Lojas de Móveis e Decoração
(11) 92644-3627;14/05/1949;76;Outro;São Paulo;República;São Paulo;Casa Verde;;;Farmácias e Drogarias
(11) 94010-8264;01/10/1992;32;Outro;São Paulo;Vila Prudente;São Paulo;Higienópolis;São Paulo;Higienópolis;Restaurantes e Gastronomia
(11) 97722-6233;10/07/1990;35;Feminino;São Paulo;Higienópolis;São Paulo;Casa Verde;;;Bancos, Agências e Correspondentes
(11) 97022-3980;26/09/1973;51;Feminino;São Paulo;Lapa;São Paulo;Jabaquara;;;Lojas de Roupas e Calçados
(11) 93764-1815;03/08/1945;80;Feminino;São Paulo;Butantã;São Paulo;República;São Paulo;Bela Vista;Produtos Naturais e Fitoterápicos
(11) 98433-9096;18/03/1969;56;Masculino;São Paulo;Tucuruvi;São Paulo;Penha;São Paulo;Consolação;Lojas de Móveis e Decoração
(11) 94531-5636;12/06/2007;18;Outro;São Paulo;Santo Amaro;São Paulo;Santana;São Paulo;Higienópolis;Coworkings e Centros de Estudo/Conexão
(41) 98506-2404;21/04/1975;50;Masculino;São Paulo;Itaquera;;;;;Bancos, Agências e Correspondentes
(11) 97935-5198;13/02/1959;66;Masculino;São Paulo;Consolação;São Paulo;Ipiranga;;;Fisioterapia e Terapias Complementares
(71) 91745-1087;24/12/2006;18;Feminino;São Paulo;Vila Prudente;São Paulo;República;São Paulo;Tatuapé;Espaços Culturais e de Experiência Interativa
(11) 93783-9253;04/01/1945;80;Feminino;Jesus;Jabaquara;São Paulo;Higienópolis;;;Igrejas e Lojas de Artigos Religiosos
(11) 91723-3095;23/04/1999;26;Feminino;São Paulo;Limão;;;;;Cinema e Streaming Experience Stores
(41) 95321-9470;01/04/2009;16;Feminino;São Paulo;Santana;São Paulo;Lapa;;;Coworkings e Centros de Estudo/Conexão
(11) 93435-1894;26/11/1976;48;Masculino;São Paulo;Campo Limpo;São Paulo;Limão;São Paulo;Vila Prudente;Supermercados e Mercados Express
(11) 98949-8499;14/10/2007;17;Feminino;São Paulo;Higienópolis;São Paulo;República;São Paulo;Higienópolis;Cinema e Streaming Experience Stores
(11) 94479-1067;05/10/1982;42;Outro;São Paulo;Santana;São Paulo;Sé;;;Clínicas de Saúde e Bem-estar
(11) 92998-7458;23/06/1944;81;Feminino;São Paulo;Sé;;;São Paulo;Sé;Clubes e Centros de Convivência
(11) 95412-1095;11/10/1966;58;Feminino;Ferreira;Perdizes;;;;;Papelarias, Livrarias e Lojas de Escritório
(11) 91797-5635;03/09/1947;77;Feminino;São Paulo;República;São Paulo;Santana;;;Clínicas Médicas e Laboratórios
(11) 97535-2461;24/12/1987;37;Masculino;São Paulo;Santana;São Paulo;Consolação;São Paulo;Sé;Lojas de Eletrodomésticos e Utilidades Domésticas
(71) 93151-6882;17/05/2003;22;Outro;São Paulo;Penha;São Paulo;Sé;;;Espaços Culturais e de Experiência Interativa
(11) 92478-7922;12/11/1981;43;Feminino;São Paulo;Santo Amaro;;;São Paulo;Sé;Bancos, Agências e Correspondentes
(11) 93540-9115;22/01/1962;63;Outro;São Paulo;Ipiranga;São Paulo;Bela Vista;;;Clubes e Centros de Convivência
(11) 93093-5921;03/04/1970;55;Masculino;São Paulo;Tatuapé;São Paulo;Bela Vista;;;Postos de Combustível e Serviços Automotivos
(11) 92548-8612;24/08/2005;19;Outro;São Paulo;Limão;São Paulo;Higienópolis;São Paulo;Limão;Lojas de Roupas e Sneakers
(11) 97438-1741;11/05/1944;81;Masculino;São Paulo;Tatuapé;São Paulo;Limão;;;Igrejas e Lojas de Artigos Religiosos
(11) 94066-4458;14/06/1969;56;Masculino;São Paulo;Butantã;São Paulo;Limão;;;Supermercados e Mercados Express
(11) 91217-3813;31/03/1961;64;Outro;São Paulo;Vila Prudente;;;;;Fisioterapia e Terapias Complementares
(11) 95961-6910;23/05/1980;45;Outro;São Paulo;Vila Prudente;;;São Paulo;Consolação;Farmácias e Drogarias
(11) 94083-1439;04/12/1999;25;Masculino;São Paulo;Higienópolis;;;;;Lojas de Moda Urbana e Alternativa
(11) 95930-8592;04/04/1980;45;Masculino;São Paulo;Bela Vista;São Paulo;Ipiranga;;;Lojas de Roupas e Calçados
(11) 98364-4975;04/09/1992;32;Masculino;São Paulo;Vila Prudente;São Paulo;Sé;;;Lojas de Roupas e Calçados
(11) 95764-1606;30/11/1935;89;Feminino;São Paulo;Ipiranga;São Paulo;Limão;São Paulo;Bela Vista;Restaurantes com comida caseira
(11) 92040-5388;03/06/2005;20;Outro;São Paulo;Campo Limpo;São Paulo;Casa Verde;;;Barbearias/Salões com estética jovem
(11) 95718-4149;18/07/1989;36;Feminino;São Paulo;Casa Verde;São Paulo;República;;;Lojas de Roupas e Calçados
(11) 95806-7395;05/08/1989;35;Feminino;São Paulo;Perdizes;;;;;Restaurantes e Gastronomia
(11) 95627-2412;17/04/1985;40;Outro;São Paulo;Santana;São Paulo;Santana;;;Lojas de Roupas e Calçados
(11) 94431-1770;11/02/1976;49;Masculino;São Paulo;Limão;São Paulo;Higienópolis;São Paulo;Sé;Farmácias e Drogarias
(11) 92977-4671;13/10/1989;35;Feminino;São Paulo;Itaquera;;;;;Postos de Combustível e Serviços Automotivos
(11) 93476-9444;26/04/1985;40;Outro;São Paulo;Consolação;;;;;Lojas de Roupas e Calçados
(21) 92734-2669;03/01/1989;36;Outro;São Paulo;Sé;São Paulo;Consolação;;;Restaurantes e Gastronomia
(11) 98233-9288;22/07/2007;18;Feminino;São Paulo;Sé;São Paulo;Consolação;São Paulo;Sé;Lanchonetes e Fast-Food
(11) 98760-6592;14/04/1978;47;Feminino;São Paulo;República;São Paulo;Limão;;;Bancos, Agências e Correspondentes
(11) 99677-7909;06/01/1975;50;Masculino;São Paulo;Santo Amaro;São Paulo;Sé;;;Postos de Combustível e Serviços Automotivos
(11) 96927-1487;13/05/1953;72;Feminino;São Paulo;Bela Vista;;;;;Supermercados de Bairro e Mercadinhos
(11) 96157-7580;24/04/1936;89;Masculino;São Paulo;Vila Prudente;;;;;Clínicas Médicas e Laboratórios
(21) 99516-5845;16/07/1980;45;Feminino;São Paulo;Pinheiros;;;;;Clínicas de Saúde e Bem-estar
(21) 95583-9647;16/10/1969;55;Outro;Nunes Alegre;Vila Prudente;São Paulo;Higienópolis;;;Papelarias, Livrarias e Lojas de Escritório
(11) 96656-7627;29/07/1980;45;Masculino;São Paulo;República;São Paulo;Consolação;;;Postos de Combustível e Serviços Automotivos
(11) 92520-9383;14/11/1955;69;Outro;São Paulo;Itaquera;;;São Paulo;Higienópolis;Fisioterapia e Terapias Complementares
(11) 95979-7926;19/06/1968;57;Outro;São Paulo;Consolação;;;São Paulo;Bela Vista;Supermercados e Mercados Express
(11) 93043-8352;01/02/1970;55;Feminino;São Paulo;Bela Vista;São Paulo;Lapa;;;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 93293-7187;12/08/1957;67;Outro;São Paulo;Sé;São Paulo;República;;;Clínicas Médicas e Laboratórios
(11) 97751-2342;08/05/1941;84;Masculino;São Paulo;Higienópolis;São Paulo;República;;;Restaurantes com comida caseira
(11) 99502-7468;06/12/1949;75;Feminino;São Paulo;Perdizes;São Paulo;Sé;;;Restaurantes com comida caseira
(11) 93364-9286;07/04/1961;64;Masculino;São Paulo;Jabaquara;São Paulo;Santana;;;Clubes e Centros de Convivência
(11) 93569-7051;15/06/1974;51;Masculino;São Paulo;Santo Amaro;São Paulo;República;São Paulo;República;Lojas de Eletrodomésticos e Utilidades Domésticas
(41) 95816-8961;15/08/1946;78;Masculino;São Paulo;Higienópolis;;;;;Igrejas e Lojas de Artigos Religiosos
(11) 94532-3999;19/01/1963;62;Outro;São Paulo;Sé;São Paulo;Bela Vista;;;Fisioterapia e Terapias Complementares
(11) 98411-6534;26/12/1956;68;Feminino;São Paulo;Butantã;São Paulo;Sé;;;Clubes e Centros de Convivência
(11) 96328-2463;19/10/1937;87;Outro;São Paulo;Santo Amaro;São Paulo;Campo Limpo;;;Clubes e Centros de Convivência
(11) 92450-3713;26/04/1948;77;Outro;São Paulo;Perdizes;;;;;Produtos Naturais e Fitoterápicos
(11) 92395-4152;12/01/2007;18;Outro;São Paulo;Consolação;;;;;Coworkings e Centros de Estudo/Conexão
(11) 91305-2970;29/11/2005;19;Outro;Aragão;Santana;;;São Paulo;Higienópolis;Coworkings e Centros de Estudo/Conexão
(11) 99741-6249;14/12/1964;60;Feminino;São Paulo;Campo Limpo;;;São Paulo;Sé;Farmácias e Drogarias
(11) 96199-7258;13/04/1986;39;Feminino;São Paulo;Sé;São Paulo;Consolação;São Paulo;República;Lojas de Móveis e Decoração
(11) 91965-6329;25/04/1945;80;Masculino;São Paulo;Consolação;São Paulo;Consolação;;;Calçados Confortáveis e Ortopédicos
(11) 92981-1849;17/12/2002;22;Masculino;São Paulo;Butantã;São Paulo;Higienópolis;;;Cafeterias e Bistrôs Modernos
(11) 96215-8615;24/01/1940;85;Outro;São Paulo;Campo Limpo;São Paulo;Santana;São Paulo;Pinheiros;Bancos e Casas Lotéricas
(11) 93057-5990;17/10/1999;25;Outro;São Paulo;República;;;;;Lojas de Roupas e Sneakers
(11) 93755-5016;13/04/1975;50;Outro;da Paz;Pinheiros;São Paulo;Sé;;;Papelarias, Livrarias e Lojas de Escritório
(11) 93742-1008;30/07/2003;21;Masculino;Souza do Campo;Campo Limpo;São Paulo;Sé;;;Lojas de Eletrônicos e Games
(11) 99361-5609;30/07/1994;31;Masculino;São Paulo;Pinheiros;São Paulo;Sé;;;Restaurantes e Gastronomia
(11) 95578-8077;14/08/1948;76;Masculino;São Paulo;Itaquera;;;;;Igrejas e Lojas de Artigos Religiosos
(61) 95473-5029;01/02/1996;29;Outro;Moraes;Itaquera;São Paulo;Butantã;São Paulo;Santana;Espaços Culturais e de Experiência Interativa
(11) 91156-3843;23/03/1974;51;Feminino;São Paulo;Campo Limpo;;;;;Farmácias e Drogarias
(11) 98293-3022;03/12/1969;55;Feminino;da Cruz;Vila Prudente;;;;;Restaurantes e Gastronomia
(11) 91138-3044;29/09/1985;39;Feminino;São Paulo;Tucuruvi;São Paulo;Bela Vista;;;Clínicas de Saúde e Bem-estar
(11) 95967-4623;24/03/1963;62;Masculino;Araújo;Penha;São Paulo;Higienópolis;São Paulo;Sé;Supermercados de Bairro e Mercadinhos
(11) 99197-9093;06/03/2006;19;Masculino;São Paulo;Lapa;;;;;Lojas de Roupas e Sneakers
(11) 93101-2065;15/05/1944;81;Masculino;São Paulo;Lapa;;;;;Igrejas e Lojas de Artigos Religiosos
(11) 91378-9731;25/08/1941;83;Outro;São Paulo;Pinheiros;;;São Paulo;Bela Vista;Calçados Confortáveis e Ortopédicos
(11) 97666-5489;22/10/2005;19;Masculino;São Paulo;Jabaquara;São Paulo;Bela Vista;;;Lojas de Eletrônicos e Games
(11) 97882-9723;29/09/1997;27;Feminino;São Paulo;Vila Prudente;São Paulo;Higienópolis;;;Lojas de Eletrônicos e Games
(61) 92219-5095;07/01/1981;44;Masculino;São Paulo;Tatuapé;São Paulo;Santana;;;Supermercados e Mercados Express
(11) 96477-5102;01/03/1999;26;Masculino;São Paulo;Casa Verde;;;;;Academias e Studios Fitness
(11) 94878-2194;23/11/1936;88;Outro;São Paulo;Sé;;;;;Supermercados de Bairro e Mercadinhos
(21) 97183-6132;24/09/1963;61;Outro;São Paulo;Higienópolis;São Paulo;Tatuapé;;;Restaurantes com comida caseira
(11) 91914-1855;15/01/1971;54;Feminino;São Paulo;Vila Prudente;São Paulo;Tucuruvi;;;Papelarias, Livrarias e Lojas de Escritório
(11) 97290-8605;04/06/1981;44;Feminino;São Paulo;Butantã;São Paulo;Santana;;;Clínicas de Saúde e Bem-estar
(11) 92769-2682;02/09/2007;17;Masculino;São Paulo;República;São Paulo;Itaquera;;;Cinema e Streaming Experience Stores
(11) 98887-8284;22/02/1995;30;Masculino;São Paulo;Consolação;São Paulo;Sé;;;Academias e Studios Fitness
(11) 99866-3385;06/10/1943;81;Masculino;São Paulo;Butantã;São Paulo;Bela Vista;;;Clínicas Médicas e Laboratórios
(11) 99308-1894;12/03/1937;88;Feminino;São Paulo;Tucuruvi;;;São Paulo;Consolação;Clubes e Centros de Convivência
(11) 98657-6425;01/04/1999;26;Outro;São Paulo;Itaquera;;;;;Lojas de Roupas e Sneakers
(11) 91691-9125;12/12/1937;87;Masculino;Ramos do Amparo;Perdizes;São Paulo;Higienópolis;São Paulo;República;Restaurantes com comida caseira
(11) 94018-1110;24/04/2000;25;Feminino;São Paulo;Penha;São Paulo;República;;;Espaços Culturais e de Experiência Interativa
(41) 91719-1486;19/01/1980;45;Masculino;São Paulo;Santana;São Paulo;Consolação;;;Postos de Combustível e Serviços Automotivos
(11) 94211-1352;04/04/1998;27;Masculino;São Paulo;Sé;São Paulo;Limão;;;Cafeterias e Bistrôs Modernos
(11) 94444-5998;18/02/1979;46;Feminino;São Paulo;Penha;;;;;Papelarias, Livrarias e Lojas de Escritório
(11) 92071-2941;18/04/1985;40;Masculino;São Paulo;Higienópolis;;;São Paulo;República;Clínicas de Saúde e Bem-estar
(11) 95006-1756;01/01/1993;32;Outro;São Paulo;Pinheiros;São Paulo;Consolação;São Paulo;Tucuruvi;Postos de Combustível e Serviços Automotivos
(61) 94428-2333;24/06/1983;42;Feminino;São Paulo;Butantã;São Paulo;Higienópolis;;;Postos de Combustível e Serviços Automotivos
(11) 96272-7125;13/12/1961;63;Outro;São Paulo;Campo Limpo;São Paulo;Higienópolis;;;Bancos e Casas Lotéricas
(11) 94325-8406;22/11/1979;45;Masculino;São Paulo;Tatuapé;São Paulo;Consolação;;;Clínicas de Saúde e Bem-estar
(11) 92388-3200;26/01/1988;37;Masculino;São Paulo;Ipiranga;São Paulo;Sé;;;Clínicas de Saúde e Bem-estar
(11) 98660-8086;02/08/2001;23;Feminino;São Paulo;Campo Limpo;São Paulo;Consolação;;;Cinema e Streaming Experience Stores
(11) 96883-2350;30/06/2005;20;Feminino;São Paulo;Ipiranga;São Paulo;República;;;Cafeterias e Bistrôs Modernos
(11) 96902-1627;20/03/1944;81;Outro;São Paulo;Tucuruvi;;;São Paulo;Casa Verde;Bancos e Casas Lotéricas
(11) 93258-9898;03/07/1976;49;Feminino;São Paulo;Tatuapé;São Paulo;Sé;;;Papelarias, Livrarias e Lojas de Escritório
(11) 91194-8733;14/12/1981;43;Outro;São Paulo;Higienópolis;;;São Paulo;Tucuruvi;Lojas de Roupas e Calçados
(11) 98679-8559;31/12/1983;41;Feminino;São Paulo;Itaquera;;;;;Lojas de Móveis e Decoração
(11) 98372-1493;20/04/1999;26;Feminino;São Paulo;Higienópolis;São Paulo;Limão;;;Academias e Studios Fitness
(11) 97867-7974;09/10/1983;41;Outro;São Paulo;Pinheiros;São Paulo;Higienópolis;;;Restaurantes e Gastronomia
(11) 96410-7404;07/12/1978;46;Feminino;São Paulo;Vila Prudente;São Paulo;Sé;São Paulo;Sé;Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 92709-3910;03/10/1934;90;Masculino;São Paulo;Butantã;São Paulo;Bela Vista;;;Restaurantes com comida caseira
(11) 94818-5769;24/08/1972;52;Outro;São Paulo;Jabaquara;São Paulo;Consolação;;;Lojas de Móveis e Decoração
(11) 92814-3115;07/08/1946;79;Outro;São Paulo;República;São Paulo;Jabaquara;São Paulo;Sé;Clubes e Centros de Convivência
(11) 96084-4325;11/02/1945;80;Outro;São Paulo;Jabaquara;São Paulo;Consolação;;;Restaurantes com comida caseira
(11) 95044-9615;14/01/1987;38;Feminino;Lopes de Goiás;Campo Limpo;São Paulo;Bela Vista;São Paulo;Vila Prudente;Clínicas de Saúde e Bem-estar
(11) 95873-7407;06/12/1965;59;Outro;São Paulo;Santana;São Paulo;Higienópolis;;;Lojas de Roupas e Calçados
(11) 94005-2565;13/10/1950;74;Feminino;São Paulo;Consolação;São Paulo;Penha;;;Produtos Naturais e Fitoterápicos
(11) 92093-4559;30/11/1948;76;Feminino;São Paulo;Pinheiros;São Paulo;Bela Vista;;;Calçados Confortáveis e Ortopédicos
(11) 93700-5141;18/05/1957;68;Masculino;São Paulo;Jabaquara;São Paulo;Limão;;;Restaurantes com comida caseira
(11) 97499-1618;19/06/1975;50;Masculino;São Paulo;Higienópolis;São Paulo;Limão;;;Farmácias e Drogarias
(11) 94969-8171;22/04/1938;87;Masculino;São Paulo;Limão;;;São Paulo;Bela Vista;Clínicas Médicas e Laboratórios
(11) 99759-7403;11/04/1936;89;Masculino;São Paulo;Bela Vista;;;São Paulo;Consolação;Farmácias e Drogarias
(11) 99721-4541;04/07/1941;84;Feminino;São Paulo;Perdizes;;;;;Supermercados de Bairro e Mercadinhos
(11) 96051-8274;24/11/2008;16;Masculino;São Paulo;Consolação;;;;;Lojas de Eletrônicos e Games
(11) 94908-4276;22/04/1942;83;Masculino;São Paulo;Bela Vista;;;;;Bancos e Casas Lotéricas
(11) 92035-4613;15/09/1991;33;Masculino;São Paulo;Santana;;;São Paulo;República;Clínicas de Saúde e Bem-estar
(11) 94105-4393;03/10/1950;74;Outro;São Paulo;Santo Amaro;São Paulo;República;;;Farmácias e Drogarias
