numero_celular;data_captura;tipo_cupom;tipo_loja;local_captura;latitude;longitude;nome_loja;endereco_loja;valor_compra;valor_cupom
(11) 97424-5133;26/07/2025;Cashback;mercado express;Shopping Cidade São Paulo;-23.562.812.218.002.100;-4.665.251.395.292.750;Lojas Americanas;Av. Paulista, 2300;598,45;29,92
(11) 92929-4929;26/07/2025;Cashback;eletrodoméstico;MASP;-23.561.424.496.547.100;-4.665.534.975.980.930;Renner;Av. Paulista, 2230;998,8;49,94
(11) 94096-1931;20/07/2025;Desconto;restaurante;Shopping Cidade São Paulo;-23.563.345.090.117.300;-466.517.592.654.326;Pão de Açúcar;Rua Pamplona, 1704;839,79;294,25
(11) 98880-3338;26/07/2025;Produto;eletrodoméstico;Semáforo;-23.561.787.674.419.300;-4.665.416.874.003.270;Havaianas;Av. Paulista, 2439;510,5;17,62
(11) 94540-5874;02/07/2025;Produto;móveis;Estação Consolação;-23.555.581.277.678.200;-4.666.132.623.366.510;Subway;Av. Paulista, 2026;490,02;13,06
(11) 92865-6336;05/07/2025;Desconto;mercado express;Semáforo;-23.561.813.457.011.300;-4.665.447.106.741.590;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;934,23;97,22
(11) 99411-2978;20/07/2025;Produto;vestuário;Calçada aleatória;-23.564.218.141.152.700;-4.665.007.425.559.060;Renner;Av. Paulista, 2230;878,37;34,9
(11) 92925-2308;12/07/2025;Desconto;móveis;MASP;-2.356.143.633.002.870;-4.665.569.479.837.070;Subway;Av. Paulista, 2026;424,89;124,87
(11) 97850-9989;06/07/2025;Desconto;outros;Shopping Cidade São Paulo;-2.356.310.368.969.970;-46.652.703.603.307.600;Lojas Americanas;Av. Paulista, 2300;848,03;94,14
(11) 94282-9503;03/07/2025;Produto;mercado express;Estação Consolação;-235.556.569.406.447;-4.666.143.482.427.640;Subway;Av. Paulista, 2026;870,67;41,46
(11) 96533-1118;20/07/2025;Produto;restaurante;Shopping Cidade São Paulo;-23.562.989.062.865.600;-4.665.197.876.578.230;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;109,19;1,85
(11) 96301-4178;26/07/2025;Desconto;vestuário;Parque Trianon;-23.563.761.823.353.600;-4.665.686.124.597.620;Drogaria São Paulo;Av. Paulista, 1230;629,35;170,32
(11) 97542-3847;27/07/2025;Cashback;vestuário;Shopping Cidade São Paulo;-2.356.317.804.971.340;-4.665.280.128.828.000;Renner;Av. Paulista, 2230;819,58;40,98
(11) 95332-5869;13/07/2025;Produto;vestuário;Estação Consolação;-23.555.642.114.534.200;-4.666.155.569.369.380;Lojas Americanas;Av. Paulista, 2300;812,9;42,12
(11) 96081-7574;05/07/2025;Produto;esportivo;Shopping Cidade São Paulo;-23.563.075.526.348.800;-4.665.268.602.457.270;Smart Fit;Av. Paulista, 2006;989,68;35,07
(11) 94117-9675;05/07/2025;Desconto;mercado express;MASP;-2.356.173.831.696.210;-46.655.565.054.144;Riachuelo;Av. Paulista, 2277;566,73;77,97
(11) 91304-8619;20/07/2025;Desconto;eletrodoméstico;MASP;-23.561.425.866.546.100;-4.665.567.654.979.070;Renner;Av. Paulista, 2230;242,59;94,53
(11) 99172-5610;05/07/2025;Produto;mercado express;Semáforo;-2.356.199.150.448.710;-4.665.399.107.315.810;Drogaria São Paulo;Av. Paulista, 1230;998,35;29,03
(11) 99835-5733;20/07/2025;Produto;esportivo;Semáforo;-23.561.718.514.858.200;-46.654.154.813.418.400;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;996,57;30,1
(11) 96770-2913;13/07/2025;Desconto;restaurante;Shopping Cidade São Paulo;-2.356.312.816.376.690;-4.665.244.168.258.660;Renner;Av. Paulista, 2230;588,16;86,32
(11) 98569-3238;05/07/2025;Produto;farmácia;Semáforo;-2.356.213.034.886.820;-46.654.092.751.637.000;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;256,09;13,8
(11) 92042-1955;12/07/2025;Produto;esportivo;MASP;-2.356.134.735.986.850;-466.560.246.245.865;Ponto Frio;Rua da Consolação, 2303;397,32;21,26
(11) 99399-9742;05/07/2025;Cashback;outros;Estação Consolação;-23.555.394.273.162.300;-46.661.886.382.190.600;Riachuelo;Av. Paulista, 2277;214,37;10,72
(11) 96733-8706;06/07/2025;Desconto;restaurante;Calçada aleatória;-23.564.056.061.493.200;-4.665.013.191.931.740;Subway;Av. Paulista, 2026;428,3;92,34
(11) 91258-5484;27/07/2025;Desconto;vestuário;Parque Trianon;-23.563.577.906.634.600;-4.665.694.003.356.700;Ponto Frio;Rua da Consolação, 2303;763,83;181,07
(11) 98717-7481;05/07/2025;Produto;outros;Semáforo;-2.356.169.044.663.810;-4.665.444.566.811.190;Lojas Americanas;Av. Paulista, 2300;226,97;5,68
(11) 93662-6524;06/07/2025;Produto;móveis;Estação Consolação;-2.355.569.088.492.020;-4.666.135.111.076.130;Smart Fit;Av. Paulista, 2006;396,58;7,02
(11) 96087-7662;12/07/2025;Produto;outros;MASP;-2.356.138.931.480.320;-4.665.556.135.588.740;Riachuelo;Av. Paulista, 2277;959,81;37,45
(11) 99645-7022;26/07/2025;Cashback;vestuário;Calçada aleatória;-2.356.415.518.653.500;-4.664.957.719.576.790;Subway;Av. Paulista, 2026;372,72;18,64
(11) 99831-9704;13/07/2025;Cashback;outros;Parque Trianon;-23.563.322.330.562.900;-4.665.710.785.156.810;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;284,38;14,22
(11) 92626-9308;28/07/2025;Produto;vestuário;Semáforo;-23.562.133.650.756.400;-4.665.356.398.465.680;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;894,35;51,25
(11) 96204-8304;06/07/2025;Cashback;eletrodoméstico;MASP;-2.356.094.012.835.620;-4.665.603.785.800.810;Subway;Av. Paulista, 2026;961,36;48,07
(71) 91077-2054;27/07/2025;Produto;farmácia;Semáforo;-2.356.212.605.604.510;-4.665.408.453.538.260;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;957,39;48,34
(11) 96701-4130;19/07/2025;Produto;farmácia;Estação Consolação;-2.355.617.433.515.330;-4.666.189.359.558.390;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;790,26;30,56
(11) 93651-5696;27/07/2025;Cashback;outros;MASP;-23.561.715.242.230.000;-4.665.611.133.926.950;Riachuelo;Av. Paulista, 2277;510,68;25,53
(11) 94352-1854;26/07/2025;Desconto;farmácia;Semáforo;-23.562.010.405.466.200;-4.665.392.973.558.020;Subway;Av. Paulista, 2026;153,02;33,18
(11) 99669-9261;26/07/2025;Produto;restaurante;Semáforo;-2.356.153.484.985.210;-46.654.299.506.212.200;Smart Fit;Av. Paulista, 2006;317,07;14,92
(31) 93480-7466;05/07/2025;Produto;esportivo;Calçada aleatória;-23.563.704.703.280.400;-4.665.006.419.665.320;Kalunga;Rua Augusta, 2220;122,73;2,41
(11) 97418-5456;26/07/2025;Desconto;esportivo;Shopping Pátio Paulista;-23.570.563.839.112.800;-4.664.544.855.415.230;Pão de Açúcar;Rua Pamplona, 1704;674,86;293,73
(11) 98641-4879;13/07/2025;Cashback;outros;Estação Consolação;-2.355.610.781.660.640;-4.666.150.327.707.610;Kalunga;Rua Augusta, 2220;334,66;16,73
(11) 97565-1456;05/07/2025;Desconto;móveis;Calçada aleatória;-23.563.950.064.337.500;-466.498.522.646.208;Riachuelo;Av. Paulista, 2277;996,02;438,26
(11) 91481-4712;27/07/2025;Produto;mercado express;MASP;-23.561.327.249.406.800;-4.665.514.440.995.800;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;800,81;48,02
(11) 95092-3892;05/07/2025;Produto;eletrodoméstico;Parque Trianon;-23.564.203.321.995.200;-466.571.582.990.865;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;844,93;33,12
(11) 93350-1962;19/07/2025;Produto;eletrodoméstico;Calçada aleatória;-23.564.186.942.157.900;-4.665.016.664.313.570;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;457,16;21,19
(11) 95059-6488;20/07/2025;Cashback;esportivo;Estação Consolação;-2.355.596.221.613.810;-4.666.126.129.504.060;Subway;Av. Paulista, 2026;694,03;34,7
(11) 95283-5617;06/07/2025;Produto;esportivo;Semáforo;-23.561.573.848.725.600;-4.665.417.122.388.810;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;845,09;32,82
(11) 99030-4909;05/07/2025;Desconto;eletrodoméstico;MASP;-2.356.166.370.667.190;-4.665.573.957.533.300;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;222,71;55,82
(11) 95625-9191;05/07/2025;Desconto;esportivo;Semáforo;-23.562.165.666.913.200;-4.665.381.012.045.460;Pão de Açúcar;Rua Pamplona, 1704;702,22;212,89
(11) 95027-5001;27/07/2025;Desconto;restaurante;Parque Trianon;-23.563.951.123.093.700;-466.574.537.232.345;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;651,34;203,09
(41) 98153-5820;26/07/2025;Produto;farmácia;Parque Trianon;-23.563.547.748.439.600;-46.656.460.236.698.000;Renner;Av. Paulista, 2230;489,9;21,5
(11) 98610-3509;20/07/2025;Produto;outros;Estação Consolação;-23.555.954.836.607.100;-4.666.173.431.046.790;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;631,51;18,56
(11) 95777-2291;12/07/2025;Cashback;vestuário;MASP;-2.356.132.824.038.270;-46.655.780.662.963.000;Lojas Americanas;Av. Paulista, 2300;666,19;33,31
(11) 94918-7766;13/07/2025;Desconto;esportivo;Semáforo;-235.618.024.367.182;-4.665.339.693.863.830;Pão de Açúcar;Rua Pamplona, 1704;659,15;174,94
(11) 98561-1834;05/07/2025;Cashback;móveis;Semáforo;-23.562.053.084.168.200;-46.654.239.489.173.300;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;334,83;16,74
(11) 96666-3169;20/07/2025;Produto;outros;Parque Trianon;-23.564.425.795.768.400;-4.665.721.827.901.190;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;690,48;13,21
(11) 94270-4636;20/07/2025;Cashback;restaurante;Shopping Pátio Paulista;-2.357.055.893.809.180;-46.645.112.632.640.900;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;347,25;17,36
(41) 91255-7370;12/07/2025;Produto;esportivo;Estação Consolação;-2.355.592.628.338.970;-4.666.155.086.361.450;Smart Fit;Av. Paulista, 2006;735,04;23,58
(41) 99111-9165;13/07/2025;Cashback;eletrodoméstico;MASP;-2.356.141.892.686.880;-4.665.552.448.201.790;Havaianas;Av. Paulista, 2439;689,41;34,47
(11) 91597-6303;05/07/2025;Desconto;esportivo;Calçada aleatória;-23.563.241.920.272.200;-46.650.159.260.631.800;Smart Fit;Av. Paulista, 2006;109,16;11,43
(11) 95051-4015;12/07/2025;Desconto;eletrodoméstico;MASP;-23.561.560.831.832.700;-4.665.556.775.173.680;Pão de Açúcar;Rua Pamplona, 1704;581,37;117,47
(11) 91424-6893;17/07/2025;Cashback;móveis;Shopping Pátio Paulista;-2.357.034.443.255.310;-4.664.509.698.780.220;Drogaria São Paulo;Av. Paulista, 1230;454,7;22,73
(31) 94264-3628;20/07/2025;Produto;outros;Shopping Cidade São Paulo;-235.629.818.215.444;-4.665.241.078.762.720;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;571,7;16,58
(11) 99356-3112;03/07/2025;Desconto;farmácia;Shopping Cidade São Paulo;-23.562.979.803.550.700;-46.651.970.388.925.800;Ponto Frio;Rua da Consolação, 2303;927,78;293,71
(11) 96271-4550;17/07/2025;Produto;eletrodoméstico;MASP;-2.356.116.785.534.560;-4.665.572.881.779.060;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;726,46;30,58
(11) 99480-1883;29/07/2025;Cashback;restaurante;Estação Consolação;-23.555.450.997.593.100;-46.661.267.211.322.800;Havaianas;Av. Paulista, 2439;236,15;11,81
(11) 93680-9923;26/07/2025;Desconto;vestuário;Calçada aleatória;-23.563.585.352.302.600;-4.664.980.538.703.370;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;143,2;49,04
(11) 97691-5823;17/07/2025;Cashback;esportivo;Calçada aleatória;-23.564.050.135.424.000;-4.664.995.598.589.400;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;351,33;17,57
(11) 96795-3473;19/07/2025;Produto;móveis;Semáforo;-23.561.638.047.310.000;-466.542.450.807.013;Kalunga;Rua Augusta, 2220;540,22;24,48
(11) 98281-5842;12/07/2025;Produto;restaurante;Calçada aleatória;-23.563.889.398.007.300;-466.501.180.016.437;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;961,73;39,52
(31) 98016-1598;13/07/2025;Produto;outros;Estação Consolação;-2.355.576.237.655.310;-46.661.234.464.441.200;Pão de Açúcar;Rua Pamplona, 1704;301,66;4,12
(11) 97792-6143;01/07/2025;Cashback;outros;Shopping Cidade São Paulo;-23.563.099.670.279.500;-46.652.289.069.035.500;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;324,81;16,24
(11) 93427-3447;19/07/2025;Produto;eletrodoméstico;Parque Trianon;-23.564.419.956.842.200;-4.665.677.512.393.010;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;992,62;33,46
(11) 94386-3483;13/07/2025;Cashback;restaurante;Semáforo;-2.356.180.635.474.560;-46.653.351.023.583.000;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;503,31;25,17
(11) 92271-3864;05/07/2025;Cashback;esportivo;Shopping Pátio Paulista;-23.570.641.333.470.400;-46.645.585.254.901.700;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;216,97;10,85
(11) 98821-7666;31/07/2025;Desconto;móveis;Calçada aleatória;-23.563.925.184.894.800;-46.649.526.764.016.000;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;891,11;122,37
(11) 99913-6311;05/07/2025;Cashback;esportivo;MASP;-23.561.442.588.659.700;-4.665.579.729.354.220;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;207,13;10,36
(11) 96417-4313;05/07/2025;Desconto;outros;MASP;-23.561.231.631.047.000;-46.655.825.017.263.000;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;521,99;133,32
(11) 99629-5649;20/07/2025;Desconto;móveis;Shopping Pátio Paulista;-23.570.682.930.084.300;-4.664.559.277.300.210;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;821,11;154,25
(11) 91991-1377;26/07/2025;Cashback;esportivo;Estação Consolação;-23.555.448.910.475.000;-4.666.192.595.458.980;Renner;Av. Paulista, 2230;938,72;46,94
(11) 98940-2301;20/07/2025;Desconto;eletrodoméstico;Calçada aleatória;-23.563.960.109.097.700;-4.665.021.003.624.440;Renner;Av. Paulista, 2230;875,93;407,94
(11) 93292-7214;26/07/2025;Produto;esportivo;Calçada aleatória;-23.563.641.486.011.300;-4.665.045.695.607.140;Renner;Av. Paulista, 2230;394,02;20,82
(11) 96747-4845;20/07/2025;Cashback;farmácia;Shopping Pátio Paulista;-2.357.071.667.655.410;-46.645.537.836.437.400;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;388,95;19,45
(11) 95407-5199;13/07/2025;Desconto;outros;Calçada aleatória;-2.356.353.034.279.120;-4.665.001.972.507.830;Riachuelo;Av. Paulista, 2277;556,02;137,65
(11) 93085-7373;05/07/2025;Produto;vestuário;Shopping Pátio Paulista;-2.357.071.555.985.800;-4.664.508.665.287.910;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;769,34;25,96
(11) 99223-7125;26/07/2025;Cashback;móveis;Shopping Cidade São Paulo;-23.563.591.404.170.100;-4.665.296.264.178.690;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;974,55;48,73
(11) 91691-3347;13/07/2025;Produto;esportivo;MASP;-23.561.281.995.664.900;-46.656.031.616.267.300;Riachuelo;Av. Paulista, 2277;518,59;7,85
(11) 97172-6936;31/07/2025;Cashback;vestuário;Semáforo;-2.356.230.636.984.510;-4.665.378.749.306.580;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;588,16;29,41
(11) 92186-9694;13/07/2025;Desconto;outros;Estação Consolação;-2.355.569.785.978.580;-46.661.787.223.589.200;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;180,48;19,44
(61) 99383-1691;25/07/2025;Cashback;restaurante;Shopping Cidade São Paulo;-23.563.541.091.319.600;-4.665.204.126.280.150;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;402,55;20,13
(11) 91362-2215;13/07/2025;Desconto;vestuário;Parque Trianon;-23.563.816.939.646.600;-4.665.702.875.275.910;Renner;Av. Paulista, 2230;151,83;44,44
(11) 98119-9412;13/07/2025;Cashback;eletrodoméstico;Calçada aleatória;-23.563.446.008.901.100;-46.650.321.025.429.800;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;709,95;35,5
(11) 96228-3416;29/07/2025;Desconto;móveis;Parque Trianon;-23.564.469.657.551.200;-4.665.720.657.242.090;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;781,66;206,71
(11) 93515-7116;15/07/2025;Produto;esportivo;Semáforo;-2.356.201.367.580.490;-46.653.926.998.165.200;Drogaria São Paulo;Av. Paulista, 1230;125,02;5,55
(11) 95912-7468;27/07/2025;Cashback;outros;Semáforo;-23.562.072.370.817.300;-4.665.389.438.338.100;Drogaria São Paulo;Av. Paulista, 1230;600,3;30,02
(21) 99471-8833;20/07/2025;Desconto;esportivo;Estação Consolação;-23.556.146.461.827.200;-46.661.184.870.618.700;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;974,89;336,21
(11) 97021-4510;12/07/2025;Produto;vestuário;Calçada aleatória;-23.564.024.645.353.500;-46.649.664.811.250.500;Havaianas;Av. Paulista, 2439;942,54;54,64
(11) 92439-8008;12/07/2025;Desconto;restaurante;Calçada aleatória;-23.563.897.182.396.000;-4.664.986.297.403.420;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;331,04;163,98
(11) 97280-8552;30/07/2025;Desconto;farmácia;Shopping Pátio Paulista;-2.357.037.806.981.590;-4.664.551.668.743.190;Riachuelo;Av. Paulista, 2277;853,87;124,72
(11) 94806-7790;20/07/2025;Cashback;esportivo;Calçada aleatória;-23.563.807.183.172.000;-46.649.601.254.240.900;Outback;Shopping Pátio Paulista, Rua Treze de Maio, 1947;291,66;14,58
(11) 99215-8561;13/07/2025;Desconto;esportivo;Shopping Cidade São Paulo;-2.356.309.804.364.900;-4.665.209.029.887.270;Havaianas;Av. Paulista, 2439;639,06;279,38
(11) 96241-4658;12/07/2025;Produto;esportivo;Calçada aleatória;-23.564.026.920.708.200;-4.664.956.796.483.530;Riachuelo;Av. Paulista, 2277;143,72;5,15
(11) 91557-5801;08/07/2025;Desconto;outros;Semáforo;-2.356.220.291.769.060;-4.665.345.971.787.010;Pão de Açúcar;Rua Pamplona, 1704;121,95;52,28
(11) 99091-6942;05/07/2025;Cashback;restaurante;Semáforo;-23.562.012.047.385.100;-4.665.442.923.253.060;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;344,6;17,23
(11) 97804-9081;13/07/2025;Desconto;esportivo;Estação Consolação;-23.555.732.568.675.500;-4.666.182.231.549.720;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;243,97;57,94
(11) 98168-8065;19/07/2025;Produto;outros;Shopping Cidade São Paulo;-23.562.904.806.935.300;-4.665.249.878.719.370;Kalunga;Rua Augusta, 2220;319,93;9,98
(11) 97851-9467;26/07/2025;Cashback;outros;Calçada aleatória;-23.564.133.855.029.900;-46.650.566.862.219.200;Renner;Av. Paulista, 2230;719,46;35,97
(11) 94923-3619;20/07/2025;Cashback;restaurante;Semáforo;-23.562.135.691.895.700;-4.665.472.716.379.790;Renner;Av. Paulista, 2230;827,36;41,37
(11) 98530-9422;05/07/2025;Produto;outros;Calçada aleatória;-23.564.475.170.847.000;-4.664.977.187.560.310;Renner;Av. Paulista, 2230;237,38;7,74
(11) 98173-6076;12/07/2025;Desconto;farmácia;MASP;-23.561.178.259.952.400;-4.665.575.336.273.140;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;391,57;94,81
(11) 99281-4512;20/07/2025;Produto;farmácia;Semáforo;-2.356.229.009.284.290;-4.665.401.431.340.680;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;325,03;17,32
(11) 91332-3918;05/07/2025;Desconto;vestuário;Shopping Pátio Paulista;-23.570.550.080.761.700;-4.664.599.850.940.670;Havaianas;Av. Paulista, 2439;610,28;86,99
(11) 99405-9627;06/07/2025;Cashback;outros;Shopping Cidade São Paulo;-2.356.270.598.050.940;-4.665.203.979.131.280;Riachuelo;Av. Paulista, 2277;876,55;43,83
(11) 99123-9533;12/07/2025;Cashback;farmácia;Parque Trianon;-2.356.407.828.925.210;-466.569.909.342.483;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;750,58;37,53
(11) 93637-2877;05/07/2025;Cashback;restaurante;MASP;-23.561.351.485.157.600;-4.665.649.352.046.050;Riachuelo;Av. Paulista, 2277;380,01;19
(11) 96100-8131;05/07/2025;Desconto;vestuário;Calçada aleatória;-23.564.074.153.214.700;-46.650.204.595.274.300;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;913,16;199,79
(11) 93903-7158;05/07/2025;Produto;eletrodoméstico;Parque Trianon;-2.356.431.248.600.290;-46.657.083.330.087.800;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;838,29;38,51
(31) 91695-9776;29/07/2025;Produto;restaurante;Semáforo;-23.561.460.694.041.900;-4.665.380.774.714.160;Drogaria São Paulo;Av. Paulista, 1230;871,64;39,08
(11) 96022-6656;13/07/2025;Cashback;restaurante;MASP;-23.561.585.353.696.900;-46.655.709.225.165.500;Pão de Açúcar;Rua Pamplona, 1704;441,5;22,08
(11) 96341-7815;19/07/2025;Desconto;móveis;Shopping Cidade São Paulo;-23.562.737.193.369.000;-4.665.202.560.989.510;Pão de Açúcar;Rua Pamplona, 1704;424,04;118,27
(31) 99984-2060;05/07/2025;Desconto;eletrodoméstico;Estação Consolação;-23.555.753.110.889.000;-4.666.181.208.103.330;Kalunga;Rua Augusta, 2220;166,15;61,42
(11) 93336-1121;30/07/2025;Desconto;esportivo;Semáforo;-2.356.179.053.300.590;-46.653.881.954.384.300;Havaianas;Av. Paulista, 2439;172,1;41,37
(11) 92377-7269;12/07/2025;Cashback;farmácia;Parque Trianon;-23.563.743.442.033.900;-4.665.680.844.845.940;Ponto Frio;Rua da Consolação, 2303;858,92;42,95
(11) 94066-9378;19/07/2025;Produto;eletrodoméstico;Parque Trianon;-23.563.697.134.185.400;-46.657.159.570.563.400;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;414,56;11,37
(11) 92096-8158;26/07/2025;Cashback;vestuário;Estação Consolação;-2.355.537.578.178.030;-4.666.155.872.011.850;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;455,6;22,78
(11) 94715-4369;26/07/2025;Desconto;outros;Calçada aleatória;-23.563.377.421.738.200;-46.650.206.756.345.400;Riachuelo;Av. Paulista, 2277;359,26;113,41
(11) 97074-1042;09/07/2025;Cashback;esportivo;Semáforo;-2.356.147.921.085.900;-46.653.940.626.764.900;Subway;Av. Paulista, 2026;804,98;40,25
(11) 93522-1905;26/07/2025;Desconto;móveis;Calçada aleatória;-23.564.195.425.401.000;-4.665.014.516.575.020;Smart Fit;Av. Paulista, 2006;706,46;228,47
(11) 96285-5059;21/07/2025;Desconto;móveis;Semáforo;-2.356.209.610.419.240;-4.665.387.275.021.600;Kalunga;Rua Augusta, 2220;644,56;155,56
(11) 91149-7055;26/07/2025;Cashback;eletrodoméstico;Parque Trianon;-23.563.855.149.353.500;-4.665.717.111.000.110;Renner;Av. Paulista, 2230;216,08;10,8
(11) 98854-6461;20/07/2025;Produto;móveis;Estação Consolação;-2.355.577.830.637.760;-4.666.097.531.889.240;Ponto Frio;Rua da Consolação, 2303;296,69;4,61
(11) 99842-7396;05/07/2025;Cashback;farmácia;Shopping Pátio Paulista;-2.357.003.073.704.890;-466.455.201.028.991;Lojas Americanas;Av. Paulista, 2300;355,22;17,76
(11) 99690-7750;01/07/2025;Desconto;vestuário;Shopping Cidade São Paulo;-2.356.314.559.895.650;-4.665.226.699.060.190;Havaianas;Av. Paulista, 2439;607,59;250,56
(11) 99146-5193;26/07/2025;Produto;vestuário;Calçada aleatória;-2.356.381.594.460.810;-46.650.306.837.769.500;Renner;Av. Paulista, 2230;910,81;9,5
(71) 94764-3918;15/07/2025;Cashback;restaurante;Calçada aleatória;-23.564.077.212.961.200;-4.665.050.057.522.210;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;994,2;49,71
(11) 93417-4380;27/07/2025;Cashback;outros;Semáforo;-2.356.188.023.306.320;-46.653.805.841.218.000;Kalunga;Rua Augusta, 2220;661,15;33,06
(11) 96875-8115;19/07/2025;Desconto;outros;Semáforo;-2.356.214.495.593.860;-46.653.527.803.971.000;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;779,1;279,09
(11) 95796-1473;19/07/2025;Desconto;vestuário;Calçada aleatória;-235.643.677.296.989;-4.665.043.931.246.400;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;373,71;140,13
(11) 91688-2987;20/07/2025;Cashback;vestuário;Semáforo;-2.356.193.266.445.440;-4.665.368.587.050.920;Ponto Frio;Rua da Consolação, 2303;970,88;48,54
(11) 93323-8963;23/07/2025;Cashback;eletrodoméstico;Parque Trianon;-23.563.506.821.692.500;-4.665.713.666.527.880;Pão de Açúcar;Rua Pamplona, 1704;591,07;29,55
(11) 95772-9780;05/07/2025;Produto;outros;Calçada aleatória;-23.563.676.395.749.900;-46.650.011.552.540.800;Kalunga;Rua Augusta, 2220;868,1;11,41
(11) 93167-2220;19/07/2025;Cashback;outros;Calçada aleatória;-23.564.051.788.189.900;-4.664.973.490.201.870;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;137,15;6,86
(11) 98413-8397;12/07/2025;Produto;outros;Parque Trianon;-23.563.816.303.136.400;-46.657.471.917.647.000;Extra Mercado;Av. Brigadeiro Luís Antônio, 2769;812,13;14,24
(11) 98381-1352;12/07/2025;Desconto;outros;Estação Consolação;-23.555.328.037.895.000;-4.666.120.397.259.370;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;941,81;135,42
(11) 98698-9135;27/07/2025;Desconto;mercado express;Estação Consolação;-23.555.958.668.810.400;-4.666.149.925.893.990;Havaianas;Av. Paulista, 2439;904,5;288,9
(11) 96988-3433;27/07/2025;Cashback;farmácia;Semáforo;-23.561.851.790.944.100;-46.653.921.797.870.200;Renner;Av. Paulista, 2230;341,64;17,08
(21) 96570-7167;19/07/2025;Cashback;mercado express;Calçada aleatória;-23.564.165.091.546.100;-4.665.020.148.701.030;Renner;Av. Paulista, 2230;689,7;34,49
(71) 92223-2546;05/07/2025;Desconto;outros;Calçada aleatória;-23.564.007.666.221.200;-4.664.964.818.129.420;Lojas Americanas;Av. Paulista, 2300;880,81;384,16
(11) 94766-3306;13/07/2025;Produto;mercado express;MASP;-23.561.250.919.953.600;-4.665.599.218.429.960;Renner;Av. Paulista, 2230;768,4;46,02
(11) 92044-8437;26/07/2025;Produto;esportivo;MASP;-23.561.182.490.386.800;-4.665.673.556.278.610;Subway;Av. Paulista, 2026;770,74;37,94
(11) 92614-8581;26/07/2025;Produto;eletrodoméstico;MASP;-2.356.106.937.028.980;-46.656.402.914.133.600;Ponto Frio;Rua da Consolação, 2303;852,05;31,64
